Date,DHIAv,DHIMax,DNIAv,DNIMax,GHIAv,GHIMax,CDHIAv,CDHIMax,CDNIAv,CDNIMax,CGHIAv,CGHIMax,DPMin,DPAv,DPMax,WSMin,WSAv,WSMax,RainMin,RainAv,RainMax,RHMin,RHAv,RHMax,TMin,TAv,TMax,PMin,PAv,PMax,year,month,day,Weekday,Weekend,Festive,Q
2013-02-14,33.583333333333336,94,383.2916666666667,1010,251.29166666666666,879,33.583333333333336,94,383.2916666666667,1010,251.29166666666666,879,-6.0,-1.5416666666666667,1.0,0.3,1.429166666666667,2.7,0.6,0.7604583333333333,1.105,14.19,42.93000000000001,72.54,9.0,15.666666666666666,25.0,950,950.0,950,2013,2,14,1,0,0,10290.0
2013-02-15,83.08333333333333,356,214.54166666666666,953,199.45833333333334,792,39.708333333333336,116,352.875,961,242.79166666666666,856,-2.0,1.9166666666666667,7.0,0.7,1.7875000000000003,3.6,0.5920000000000001,1.3317916666666665,2.074,28.01,48.98041666666666,75.53,10.0,16.291666666666668,24.0,950,952.5,960,2013,2,15,1,0,0,10329.0
2013-02-16,55.375,214,233.95833333333334,903,205.16666666666666,853,55.666666666666664,169,306.375,903,240.20833333333334,853,0.0,2.0833333333333335,5.0,1.0,2.545833333333333,3.5,1.03,1.4065416666666668,2.029,32.64,60.937916666666666,82.1,9.0,13.375,20.0,960,960.0,960,2013,2,16,0,1,0,11769.0
2013-02-17,42.541666666666664,116,340.2916666666667,938,242.83333333333334,855,42.541666666666664,116,340.2916666666667,938,242.83333333333334,855,2.0,4.875,9.0,0.5,2.3583333333333334,5.6,1.4340000000000002,1.6812500000000001,2.108,24.81,66.36375,100.0,8.0,16.25,27.0,950,953.75,960,2013,2,17,0,1,0,9583.0
2013-02-18,30.083333333333332,83,388.2916666666667,1007,253.79166666666666,881,30.083333333333332,83,388.2916666666667,1007,253.79166666666666,881,-8.0,-0.8333333333333334,8.0,0.5,2.379166666666667,5.2,1.15,1.314458333333333,1.652,9.53,37.13291666666666,89.44,13.0,20.583333333333332,32.0,950,950.0,950,2013,2,18,1,0,0,10107.0
2013-02-19,108.16666666666667,401,77.25,443,155.91666666666666,628,56.0,170,298.75,845,234.83333333333334,823,0.0,6.375,13.0,0.4,3.1500000000000004,6.3,1.535,2.4058333333333333,2.926,35.13,53.95458333333334,95.16,14.0,19.916666666666668,28.0,950,951.25,960,2013,2,19,1,0,0,10389.0
2013-02-20,71.83333333333333,340,211.16666666666666,951,209.70833333333334,861,39.0,104,353.9166666666667,955,248.875,868,1.0,7.041666666666667,12.0,0.8,1.6208333333333336,3.2,1.295,1.8798749999999995,2.653,14.78,54.83208333333334,100.0,14.0,23.083333333333332,34.0,940,945.0,950,2013,2,20,1,0,0,10346.0
2013-02-21,101.375,360,140.41666666666666,541,190.125,744,36.083333333333336,100,381.9583333333333,983,257.5833333333333,890,-3.0,0.16666666666666666,3.0,0.6,2.291666666666667,4.6,1.045,1.2849583333333334,1.739,12.14,30.11958333333334,45.14,16.0,22.833333333333332,32.0,940,943.3333333333334,950,2013,2,21,1,0,0,10267.0
2013-02-22,86.375,400,204.20833333333334,953,206.75,799,37.083333333333336,97,372.4166666666667,978,256.375,888,-2.0,1.125,6.0,0.3,1.5458333333333336,3.3,1.43,1.579625,1.88,14.24,35.42875,61.71,16.0,21.541666666666668,31.0,940,949.5833333333334,950,2013,2,22,1,0,0,10762.0
2013-02-23,72.29166666666667,375,222.79166666666666,919,219.79166666666666,874,46.791666666666664,130,340.75,919,252.125,874,0.0,3.3333333333333335,6.0,0.6,1.9541666666666657,3.8,1.565,1.7507083333333335,2.052,21.85,49.77583333333332,73.84,14.0,18.333333333333332,26.0,950,950.0,950,2013,2,23,0,1,0,11601.0
